topology,nodes,edges,method,k,objective,time_sec
ANS,18,25,LocalSearch,3,779.2478241654906,0.0
ANS,18,25,ILP,3,779.2478241654907,0.026999950408935547
ARPANET,18,22,Greedy,3,11.714888951179933,0.0
ARPANET,18,22,LocalSearch,3,11.714888951179933,0.0
ARPANET,18,22,ILP,3,11.714888951179933,0.026000022888183594
BSONetworkSolutions,18,23,Greedy,3,778.7774607985056,0.0
BSONetworkSolutions,18,23,LocalSearch,3,778.7774607985054,0.0
BSONetworkSolutions,18,23,ILP,3,778.7774607985056,0.026000022888183594
Hibernia Atlantic (N. Ireland),18,21,Greedy,3,147.95068420943898,0.0
Hibernia Atlantic (N. Ireland),18,21,LocalSearch,3,48.69399474865869,0.0
Hibernia Atlantic (N. Ireland),18,21,ILP,3,48.69399474865869,0.02200007438659668
Highwinds,18,31,Greedy,3,59.59960518254957,0.0
Highwinds,18,31,LocalSearch,3,59.59960518254957,0.0
Highwinds,18,31,ILP,3,59.59960518254957,0.02700018882751465
IBM,18,24,Greedy,3,424.09103080660793,0.0
IBM,18,24,LocalSearch,3,424.09103080660793,0.0
IBM,18,24,ILP,3,424.09103080660793,0.026000022888183594
JGN2plus-Japan,18,17,Greedy,3,587.8675390029209,0.0
JGN2plus-Japan,18,17,LocalSearch,3,587.867539002921,0.0
JGN2plus-Japan,18,17,ILP,3,587.8675390029209,0.02500009536743164
NORDU,18,17,Greedy,3,0.0,0.0
NORDU,18,17,LocalSearch,3,0.0,0.0
NORDU,18,17,ILP,3,0.0,0.026000022888183594
Pacific-Wave,18,22,Greedy,3,477.96586302065884,0.0
Pacific-Wave,18,22,LocalSearch,3,477.96586302065884,0.0
Pacific-Wave,18,22,ILP,3,477.9658630206588,0.021999835968017578
Sago,18,17,Greedy,3,21.809715337454616,0.0
Sago,18,17,LocalSearch,3,21.809715337454616,0.0009999275207519531
Sago,18,17,ILP,3,21.809715337454616,0.023000001907348633
AARNET,19,24,Greedy,3,1128.1721892034998,0.0
AARNET,19,24,LocalSearch,3,430.5400201949274,0.0
AARNET,19,24,ILP,3,430.5400201949275,0.025999784469604492
EasyNet ,19,26,Greedy,3,604.6510344262563,0.0
EasyNet ,19,26,LocalSearch,3,604.6510344262564,0.0
EasyNet ,19,26,ILP,3,604.6510344262563,0.029000043869018555
InternetMCI,19,33,Greedy,3,20.126200963884738,0.0
InternetMCI,19,33,LocalSearch,3,20.126200963884738,0.0
InternetMCI,19,33,ILP,3,20.126200963884738,0.02499985694885254
