topology,nodes,k,method,objective,pct_above_best,time_sec
Hibernia Atlantic (Ireland),8,1,Betweenness,612.98,21.75,0.0
Hibernia Atlantic (Ireland),8,1,HighDegree,612.98,21.75,0.0
Hibernia Atlantic (Ireland),8,1,Random,503.46,0.0,0.0
Hibernia Atlantic (Ireland),8,3,Greedy,0.0,0.0,0.0
Hibernia Atlantic (Ireland),8,3,LocalSearch,0.0,0.0,0.0
Hibernia Atlantic (Ireland),8,3,Betweenness,78.25,0.0,0.0
Hibernia Atlantic (Ireland),8,3,HighDegree,78.25,0.0,0.0
Hibernia Atlantic (Ireland),8,3,Random,0.0,0.0,0.0
Hibernia Atlantic (Ireland),8,5,Greedy,0.0,0.0,0.0
Hibernia Atlantic (Ireland),8,5,LocalSearch,0.0,0.0,0.0
Hibernia Atlantic (Ireland),8,5,Betweenness,78.25,0.0,0.0
Hibernia Atlantic (Ireland),8,5,HighDegree,78.25,0.0,0.0
Hibernia Atlantic (Ireland),8,5,Random,0.0,0.0,0.0
ARPANET,9,1,Greedy,8422.5,0.0,0.0
ARPANET,9,1,LocalSearch,8422.5,0.0,0.0
ARPANET,9,1,Betweenness,8422.5,0.0,0.0
ARPANET,9,1,HighDegree,8422.5,0.0,0.0
ARPANET,9,1,Random,8422.5,0.0,0.0
ARPANET,9,3,Greedy,1.02,0.0,0.0
ARPANET,9,3,LocalSearch,1.02,0.0,0.0
ARPANET,9,3,Betweenness,2.05,100.0,0.0
ARPANET,9,3,HighDegree,2.05,100.0,0.0
ARPANET,9,3,Random,1.02,0.0,0.0
ARPANET,9,5,Greedy,0.0,0.0,0.0
ARPANET,9,5,LocalSearch,0.0,0.0,0.0
ARPANET,9,5,Betweenness,1.02,0.0,0.0
ARPANET,9,5,HighDegree,2.05,0.0,0.0
ARPANET,9,5,Random,0.0,0.0,0.0
GlobalCenter,9,1,Greedy,5558.09,0.0,0.0
GlobalCenter,9,1,LocalSearch,5558.09,0.0,0.0
GlobalCenter,9,1,Betweenness,5558.09,0.0,0.0
GlobalCenter,9,1,HighDegree,5558.09,0.0,0.0
GlobalCenter,9,1,Random,5558.09,0.0,0.0
GlobalCenter,9,3,Greedy,0.0,0.0,0.0
GlobalCenter,9,3,LocalSearch,0.0,0.0,0.0
GlobalCenter,9,3,Betweenness,1120.6,0.0,0.0
GlobalCenter,9,3,HighDegree,1120.6,0.0,0.0
GlobalCenter,9,3,Random,0.0,0.0,0.0
GlobalCenter,9,5,Greedy,0.0,0.0,0.0
GlobalCenter,9,5,LocalSearch,0.0,0.0,0.0
GlobalCenter,9,5,Betweenness,1120.6,0.0,0.0
GlobalCenter,9,5,HighDegree,1120.6,0.0,0.0
GlobalCenter,9,5,Random,0.0,0.0,0.0
GridNet,9,1,Greedy,5176.68,0.0,0.0
GridNet,9,1,LocalSearch,5176.68,0.0,0.0
GridNet,9,1,Betweenness,12435.7,140.23,0.0
GridNet,9,1,HighDegree,12435.7,140.23,0.0
GridNet,9,1,Random,5176.68,0.0,0.0
GridNet,9,3,Greedy,0.0,0.0,0.0
GridNet,9,3,LocalSearch,0.0,0.0,0.0
GridNet,9,3,Betweenness,772.59,0.0,0.0
GridNet,9,3,HighDegree,772.59,0.0,0.0
GridNet,9,3,Random,0.0,0.0,0.0
GridNet,9,5,Greedy,0.0,0.0,0.0
GridNet,9,5,LocalSearch,0.0,0.0,0.0
GridNet,9,5,Betweenness,0.0,0.0,0.0
GridNet,9,5,HighDegree,0.0,0.0,0.0
GridNet,9,5,Random,0.0,0.0,0.0
NORDU,9,1,Greedy,1557.5,0.0,0.0
NORDU,9,1,LocalSearch,1557.5,0.0,0.0
NORDU,9,1,Betweenness,1557.5,0.0,0.002
NORDU,9,1,HighDegree,1557.5,0.0,0.0
NORDU,9,1,Random,1557.5,0.0,0.0
NORDU,9,3,Greedy,271.58,0.0,0.0
NORDU,9,3,LocalSearch,271.58,0.0,0.0
NORDU,9,3,Betweenness,1471.76,441.92,0.0
NORDU,9,3,HighDegree,1557.5,473.49,0.0
NORDU,9,3,Random,402.28,48.13,0.0
NORDU,9,5,Greedy,42.55,0.0,0.0
NORDU,9,5,LocalSearch,42.55,0.0,0.0
NORDU,9,5,Betweenness,316.55,643.94,0.001
NORDU,9,5,HighDegree,1328.47,3022.16,0.0
NORDU,9,5,Random,359.73,745.45,0.0
AI3,10,1,Greedy,49.69,0.0,0.0
AI3,10,1,LocalSearch,49.69,0.0,0.0
AI3,10,1,Betweenness,49.69,0.0,0.0
AI3,10,1,HighDegree,49.69,0.0,0.0
AI3,10,1,Random,49.69,0.0,0.0
AI3,10,3,Greedy,16.74,0.0,0.0
AI3,10,3,LocalSearch,16.74,0.0,0.0
AI3,10,3,Betweenness,18.1,8.14,0.0
AI3,10,3,HighDegree,18.1,8.14,0.0
AI3,10,3,Random,16.74,0.0,0.0
AI3,10,5,Greedy,3.52,0.0,0.0
AI3,10,5,LocalSearch,3.52,0.0,0.0
AI3,10,5,Betweenness,18.1,414.34,0.0
AI3,10,5,HighDegree,18.1,414.34,0.0
AI3,10,5,Random,4.26,21.12,0.0
CESNET,10,1,Greedy,432.38,0.0,0.0
CESNET,10,1,LocalSearch,432.38,0.0,0.0
CESNET,10,1,Betweenness,432.38,0.0,0.0
CESNET,10,1,HighDegree,432.38,0.0,0.0
CESNET,10,1,Random,432.38,0.0,0.0
CESNET,10,3,Greedy,73.09,0.0,0.0
CESNET,10,3,LocalSearch,73.09,0.0,0.0
CESNET,10,3,Betweenness,104.35,42.77,0.0
CESNET,10,3,HighDegree,104.35,42.77,0.0
CESNET,10,3,Random,79.81,9.2,0.0
CESNET,10,5,Greedy,26.03,0.0,0.0
CESNET,10,5,LocalSearch,26.03,0.0,0.0
CESNET,10,5,Betweenness,91.76,252.56,0.0
CESNET,10,5,HighDegree,91.76,252.56,0.0
CESNET,10,5,Random,38.46,47.77,0.0
NSFCNET,10,1,Greedy,0.0,0.0,0.0
NSFCNET,10,1,LocalSearch,0.0,0.0,0.0
NSFCNET,10,1,Betweenness,61.52,0.0,0.0
NSFCNET,10,1,HighDegree,61.52,0.0,0.0
NSFCNET,10,1,Random,0.0,0.0,0.0
NSFCNET,10,3,Greedy,0.0,0.0,0.0
NSFCNET,10,3,LocalSearch,0.0,0.0,0.0
NSFCNET,10,3,Betweenness,61.52,0.0,0.0
NSFCNET,10,3,HighDegree,61.52,0.0,0.0
NSFCNET,10,3,Random,0.0,0.0,0.0
NSFCNET,10,5,Greedy,0.0,0.0,0.0
NSFCNET,10,5,LocalSearch,0.0,0.0,0.0
NSFCNET,10,5,Betweenness,61.52,0.0,0.0
NSFCNET,10,5,HighDegree,61.52,0.0,0.0
NSFCNET,10,5,Random,0.0,0.0,0.0
Abilene,11,1,Greedy,5686.51,0.0,0.0
Abilene,11,1,LocalSearch,5686.51,0.0,0.0
Abilene,11,1,Betweenness,5686.51,0.0,0.001
Abilene,11,1,HighDegree,5686.51,0.0,0.0
Abilene,11,1,Random,5686.51,0.0,0.0
Abilene,11,3,Greedy,218.99,9.23,0.0
Abilene,11,3,LocalSearch,200.49,0.0,0.0
Abilene,11,3,Betweenness,218.99,9.23,0.0
Abilene,11,3,HighDegree,5686.51,2736.3,0.0
Abilene,11,3,Random,218.99,9.23,0.0
Abilene,11,5,Greedy,0.0,0.0,0.0
Abilene,11,5,LocalSearch,0.0,0.0,0.0
Abilene,11,5,Betweenness,0.0,0.0,0.0
Abilene,11,5,HighDegree,269.12,0.0,0.0
Abilene,11,5,Random,0.0,0.0,0.0
Itnet,11,1,Greedy,312.6,0.0,0.0
Itnet,11,1,LocalSearch,312.6,0.0,0.0
Itnet,11,1,Betweenness,312.6,0.0,0.0
Itnet,11,1,HighDegree,312.6,0.0,0.0
Itnet,11,1,Random,312.6,0.0,0.0
Itnet,11,3,Greedy,169.32,0.0,0.0
Itnet,11,3,LocalSearch,169.32,0.0,0.0
Itnet,11,3,Betweenness,218.46,29.02,0.001
Itnet,11,3,HighDegree,218.46,29.02,0.0
Itnet,11,3,Random,192.78,13.85,0.0
Itnet,11,5,Greedy,79.51,0.0,0.0
Itnet,11,5,LocalSearch,79.51,0.0,0.0
Itnet,11,5,Betweenness,98.63,24.04,0.0
Itnet,11,5,HighDegree,98.63,24.04,0.0
Itnet,11,5,Random,103.49,30.16,0.0
Singaren,11,1,Greedy,38.23,0.0,0.0
Singaren,11,1,LocalSearch,38.23,0.0,0.0
Singaren,11,1,Betweenness,38.23,0.0,0.0
Singaren,11,1,HighDegree,38.23,0.0,0.0
Singaren,11,1,Random,38.23,0.0,0.0
Singaren,11,3,Greedy,19.11,0.0,0.0
Singaren,11,3,LocalSearch,19.11,0.0,0.0
Singaren,11,3,Betweenness,37.35,95.43,0.0
Singaren,11,3,HighDegree,37.35,95.43,0.0
Singaren,11,3,Random,19.21,0.52,0.0
Singaren,11,5,Greedy,8.34,0.0,0.0
Singaren,11,5,LocalSearch,8.34,0.0,0.0
Singaren,11,5,Betweenness,34.6,315.07,0.0
Singaren,11,5,HighDegree,34.6,315.07,0.0
Singaren,11,5,Random,11.67,40.01,0.0
Sprint,11,1,Greedy,4420.46,0.0,0.0
Sprint,11,1,LocalSearch,4420.46,0.0,0.0
Sprint,11,1,Betweenness,13443.7,204.12,0.0
Sprint,11,1,HighDegree,13443.7,204.12,0.0
Sprint,11,1,Random,4420.46,0.0,0.0
Sprint,11,3,Greedy,0.0,0.0,0.0
Sprint,11,3,LocalSearch,0.0,0.0,0.0
Sprint,11,3,Betweenness,0.0,0.0,0.0
Sprint,11,3,HighDegree,596.54,0.0,0.0
Sprint,11,3,Random,0.0,0.0,0.0
Sprint,11,5,Greedy,0.0,0.0,0.0
Sprint,11,5,LocalSearch,0.0,0.0,0.0
Sprint,11,5,Betweenness,0.0,0.0,0.0
Sprint,11,5,HighDegree,596.54,0.0,0.0
Sprint,11,5,Random,0.0,0.0,0.0
Janet External,12,1,Greedy,0.37,0.0,0.0
Janet External,12,1,LocalSearch,0.37,0.0,0.0
Janet External,12,1,Betweenness,24.59,6474.11,0.0
Janet External,12,1,HighDegree,24.59,6474.11,0.0
Janet External,12,1,Random,0.37,0.0,0.0
Janet External,12,3,Greedy,0.0,0.0,0.0
Janet External,12,3,LocalSearch,0.0,0.0,0.0
Janet External,12,3,Betweenness,14.13,0.0,0.0
Janet External,12,3,HighDegree,14.13,0.0,0.0
Janet External,12,3,Random,0.0,0.0,0.0
Janet External,12,5,Greedy,0.0,0.0,0.0
Janet External,12,5,LocalSearch,0.0,0.0,0.0
Janet External,12,5,Betweenness,0.0,0.0,0.0
Janet External,12,5,HighDegree,0.0,0.0,0.0
Janet External,12,5,Random,0.0,0.0,0.0
T-lex,12,1,Greedy,57.01,0.0,0.0
T-lex,12,1,LocalSearch,57.01,0.0,0.0
T-lex,12,1,Betweenness,65.75,15.33,0.0
T-lex,12,1,HighDegree,65.75,15.33,0.0
T-lex,12,1,Random,57.01,0.0,0.0
T-lex,12,3,Greedy,26.4,30.68,0.0
T-lex,12,3,LocalSearch,20.2,0.0,0.0
T-lex,12,3,Betweenness,36.58,81.09,0.0
T-lex,12,3,HighDegree,36.58,81.09,0.0
T-lex,12,3,Random,22.1,9.4,0.0
T-lex,12,5,Greedy,11.91,98.13,0.0
T-lex,12,5,LocalSearch,6.01,0.0,0.0
T-lex,12,5,Betweenness,35.92,497.52,0.0
T-lex,12,5,HighDegree,35.92,497.52,0.0
T-lex,12,5,Random,7.49,24.65,0.0
CESNET,13,1,Greedy,564.9,0.0,0.0
CESNET,13,1,LocalSearch,564.9,0.0,0.0
CESNET,13,1,Betweenness,564.9,0.0,0.0
CESNET,13,1,HighDegree,564.9,0.0,0.0
CESNET,13,1,Random,564.9,0.0,0.0
CESNET,13,3,Greedy,76.87,0.0,0.0
CESNET,13,3,LocalSearch,76.87,0.0,0.0
CESNET,13,3,Betweenness,244.58,218.18,0.0
CESNET,13,3,HighDegree,244.58,218.18,0.0
CESNET,13,3,Random,77.17,0.39,0.0
CESNET,13,5,Greedy,17.52,0.0,0.0
CESNET,13,5,LocalSearch,17.52,0.0,0.0
CESNET,13,5,Betweenness,30.15,72.11,0.0
CESNET,13,5,HighDegree,30.15,72.11,0.0
CESNET,13,5,Random,24.02,37.11,0.0
CESNET,13,1,Greedy,513.12,0.0,0.0
CESNET,13,1,LocalSearch,513.12,0.0,0.0
CESNET,13,1,Betweenness,513.12,0.0,0.0
CESNET,13,1,HighDegree,513.12,0.0,0.0
CESNET,13,1,Random,513.12,0.0,0.0
CESNET,13,3,Greedy,78.79,0.0,0.0
CESNET,13,3,LocalSearch,78.79,0.0,0.0
CESNET,13,3,Betweenness,96.56,22.56,0.0
CESNET,13,3,HighDegree,96.56,22.56,0.0
CESNET,13,3,Random,84.75,7.57,0.0
CESNET,13,5,Greedy,41.51,0.0,0.0
CESNET,13,5,LocalSearch,41.51,0.0,0.0
CESNET,13,5,Betweenness,86.32,107.97,0.0
CESNET,13,5,HighDegree,86.32,107.97,0.0
CESNET,13,5,Random,48.72,17.38,0.0
EEnet,13,1,Greedy,385.0,0.0,0.0
EEnet,13,1,LocalSearch,385.0,0.0,0.0
EEnet,13,1,Betweenness,400.19,3.95,0.0
EEnet,13,1,HighDegree,400.19,3.95,0.0
EEnet,13,1,Random,385.0,0.0,0.0
EEnet,13,3,Greedy,134.13,18.45,0.0
EEnet,13,3,LocalSearch,113.24,0.0,0.0
EEnet,13,3,Betweenness,182.45,61.12,0.0
EEnet,13,3,HighDegree,203.89,80.06,0.0
EEnet,13,3,Random,150.71,33.09,0.0
EEnet,13,5,Greedy,54.64,61.9,0.0
EEnet,13,5,LocalSearch,33.75,0.0,0.0
EEnet,13,5,Betweenness,145.63,331.53,0.0
EEnet,13,5,HighDegree,174.82,418.04,0.0
EEnet,13,5,Random,57.75,71.13,0.0
Hibernia Atlantic (Canada),13,1,Greedy,5407.06,0.0,0.0
Hibernia Atlantic (Canada),13,1,LocalSearch,5407.06,0.0,0.0
Hibernia Atlantic (Canada),13,1,Betweenness,6731.25,24.49,0.0
Hibernia Atlantic (Canada),13,1,HighDegree,6731.25,24.49,0.0
Hibernia Atlantic (Canada),13,1,Random,5407.06,0.0,0.0
Hibernia Atlantic (Canada),13,3,Greedy,0.0,0.0,0.0
Hibernia Atlantic (Canada),13,3,LocalSearch,0.0,0.0,0.0
Hibernia Atlantic (Canada),13,3,Betweenness,732.9,0.0,0.0
Hibernia Atlantic (Canada),13,3,HighDegree,732.9,0.0,0.0
Hibernia Atlantic (Canada),13,3,Random,0.0,0.0,0.0
Hibernia Atlantic (Canada),13,5,Greedy,0.0,0.0,0.0
Hibernia Atlantic (Canada),13,5,LocalSearch,0.0,0.0,0.0
Hibernia Atlantic (Canada),13,5,Betweenness,732.9,0.0,0.0
Hibernia Atlantic (Canada),13,5,HighDegree,732.9,0.0,0.0
Hibernia Atlantic (Canada),13,5,Random,0.0,0.0,0.0
KREONET,13,1,Greedy,412.4,0.0,0.0
KREONET,13,1,LocalSearch,412.4,0.0,0.0
KREONET,13,1,Betweenness,412.4,0.0,0.0
KREONET,13,1,HighDegree,412.4,0.0,0.0
KREONET,13,1,Random,412.4,0.0,0.0
KREONET,13,3,Greedy,148.69,0.0,0.0
KREONET,13,3,LocalSearch,148.69,0.0,0.0
KREONET,13,3,Betweenness,148.69,0.0,0.0
KREONET,13,3,HighDegree,148.69,0.0,0.0
KREONET,13,3,Random,148.91,0.15,0.0
KREONET,13,5,Greedy,44.66,0.0,0.0
KREONET,13,5,LocalSearch,44.66,0.0,0.0
KREONET,13,5,Betweenness,146.03,226.96,0.0
KREONET,13,5,HighDegree,146.03,226.96,0.0
KREONET,13,5,Random,44.79,0.29,0.0
Navigata ,13,1,Greedy,8960.05,0.0,0.0
Navigata ,13,1,LocalSearch,8960.05,0.0,0.0
Navigata ,13,1,Betweenness,11343.2,26.6,0.0
