topology,nodes,edges,avg_degree,density,max_betweenness,num_exits,k,greedy_obj,ls_obj,best_obj,greedy_time,ls_time
GARR,27,28,2.07,0.0798,0.5662,23,3,361.05,312.83,312.83,0.0,0.0
GEANT,27,38,2.81,0.1083,0.5205,9,3,2580.73,2524.72,2524.72,0.0,0.0
Integra Telecom ,27,36,2.67,0.1026,0.3796,3,3,0.0,0.0,0.0,0.0,0.0
Darkstrand ,28,31,2.21,0.082,0.4031,6,3,3304.97,1874.11,1874.11,0.0,0.0
Gambia,28,28,2.0,0.0741,0.8476,16,3,107.28,107.28,107.28,0.0,0.0
KentMan,28,29,2.07,0.0767,0.6059,15,3,0.0,0.0,0.0,0.0,0.0
Shentel ,28,35,2.5,0.0926,0.453,3,3,0.0,0.0,0.0,0.0,0.0
ARPANET,29,32,2.21,0.0788,0.2606,6,3,1102.55,1102.55,1102.55,0.0,0.0
BizNetworks,29,33,2.28,0.0813,0.4603,6,3,448.74,448.74,448.74,0.0,0.0
CESNET,29,33,2.28,0.0813,0.7235,17,3,228.34,228.34,228.34,0.0,0.0
Janet Backbone,29,45,3.1,0.1108,0.4097,6,3,394.17,184.0,184.0,0.0,0.0
ARN,30,29,1.93,0.0667,0.83,26,3,426.32,426.32,426.32,0.0,0.0
Cynet,30,29,1.93,0.0667,0.8227,23,3,41.53,41.5,41.5,0.0,0.0
ERNET,30,32,2.13,0.0736,0.6232,20,3,2666.46,2083.74,2083.74,0.0,0.0
GTS Hungary,30,31,2.07,0.0713,0.8805,17,3,158.18,158.18,158.18,0.0,0.0
Renater,30,36,2.4,0.0828,0.7594,11,3,251.9,251.9,251.9,0.0,0.0
WIDE,30,33,2.2,0.0759,0.6084,17,3,3782.54,3782.54,3782.54,0.0,0.0
DIGEX,31,35,2.26,0.0753,0.3245,7,3,2121.44,2121.44,2121.44,0.0,0.0
IINET ,31,35,2.26,0.0753,0.5736,22,3,2225.4,2225.4,2225.4,0.0,0.0
RNP,31,34,2.19,0.0731,0.5839,9,3,2304.29,1767.99,1767.99,0.0,0.0
Canerie,32,41,2.56,0.0827,0.4846,11,3,3181.23,2304.16,2304.16,0.0,0.001
GTS Czech Republic,32,33,2.06,0.0665,0.5871,13,3,309.45,309.45,309.45,0.0,0.0
BICS,33,48,2.91,0.0909,0.4938,5,3,1652.68,993.64,993.64,0.0,0.0
CRL,33,38,2.3,0.072,0.4472,7,3,2224.06,1898.35,1898.35,0.0,0.0
GTS Poland,33,37,2.24,0.0701,0.4681,7,3,377.6,321.89,321.89,0.0,0.0
INS IXC Services ,33,41,2.48,0.0777,0.3824,6,3,634.6,515.32,515.32,0.0,0.0
Renater,33,43,2.61,0.0814,0.5729,6,3,338.57,230.43,230.43,0.0,0.001
Renater,33,43,2.61,0.0814,0.5729,6,3,338.57,230.43,230.43,0.0,0.0
ARNES,34,46,2.71,0.082,0.6177,3,3,0.0,0.0,0.0,0.0,0.001
GEANT,34,52,3.06,0.0927,0.483,4,3,1095.73,1095.73,1095.73,0.0,0.001
Xspedius,34,49,2.88,0.0873,0.4891,7,3,1414.93,1066.37,1066.37,0.0,0.0
GTS Slovakia,35,37,2.11,0.0622,0.7415,26,3,76.57,76.57,76.57,0.0,0.0
Network USA ,35,39,2.23,0.0655,0.4545,7,3,727.8,512.83,512.83,0.0,0.0
BT North America,36,76,4.22,0.1206,0.2834,8,3,2651.72,1807.14,1807.14,0.0,0.0
CWIX,36,41,2.28,0.0651,0.5076,15,3,2270.52,2270.52,2270.52,0.0,0.0
NIIF,36,41,2.28,0.0651,0.8062,17,3,261.69,261.69,261.69,0.0,0.001
PIONIER,36,41,2.28,0.0651,0.4025,7,3,966.04,812.98,812.98,0.0,0.0
Zamren,36,34,1.89,0.054,0.5798,23,3,0.0,0.0,0.0,0.0,0.0
BREN,37,38,2.05,0.0571,0.7635,20,3,336.39,271.79,271.79,0.001,0.0
EvoLink,37,45,2.43,0.0676,0.7608,13,3,452.01,383.51,383.51,0.0,0.001
GEANT,37,56,3.03,0.0841,0.4859,6,3,2381.3,1732.37,1732.37,0.0,0.0
GRnet,37,42,2.27,0.0631,0.612,18,3,586.86,494.49,494.49,0.0,0.0
IIJ,37,65,3.51,0.0976,0.3956,10,3,3570.39,3570.39,3570.39,0.0,0.001
Myren,37,39,2.11,0.0586,0.673,31,3,586.75,603.27,586.75,0.0,0.001
Reuna,37,36,1.95,0.0541,0.7349,19,3,1200.62,1200.62,1200.62,0.0,0.001
KentMan,38,38,2.0,0.0541,0.6562,31,3,65.58,45.19,45.19,0.0,0.001
PIONIER,38,45,2.37,0.064,0.4457,10,3,554.56,497.92,497.92,0.0,0.0
CESNET,39,44,2.26,0.0594,0.6598,25,3,338.07,316.48,316.48,0.0,0.001
CESNET,39,44,2.26,0.0594,0.6598,25,3,338.07,316.48,316.48,0.0,0.0
Deutsche Telekom ,39,62,3.18,0.0837,0.2331,5,3,0.0,0.0,0.0,0.0,0.0
ValleyNet,39,51,2.62,0.0688,0.478,4,3,622.05,280.1,280.1,0.0,0.001
GEANT,40,61,3.05,0.0782,0.5024,8,3,2544.44,2150.98,2150.98,0.0,0.0
Cernet,41,58,2.83,0.0707,0.6068,11,3,1626.34,1549.58,1549.58,0.0,0.0
China Telecom ,42,66,3.14,0.0767,0.4941,22,3,3622.13,2539.28,2539.28,0.0,0.001
Lambdanet ,42,46,2.19,0.0534,0.4299,6,3,226.88,79.01,79.01,0.0,0.0
RoEduNet,42,46,2.19,0.0534,0.6866,35,3,913.95,667.38,667.38,0.0,0.0
SWITCH,42,63,3.0,0.0732,0.434,12,3,148.18,148.18,148.18,0.0,0.0
LITNET,43,43,2.0,0.0476,0.5412,38,3,266.02,266.02,266.02,0.0,0.0
Renater,43,56,2.6,0.062,0.4634,5,3,262.89,262.89,262.89,0.0,0.0
SANET,43,45,2.09,0.0498,0.4141,12,3,443.11,310.91,310.91,0.0,0.0
Carnet,44,43,1.95,0.0455,0.8815,35,3,337.48,337.48,337.48,0.0,0.0
CESNET,44,51,2.32,0.0539,0.6881,32,3,224.84,223.55,223.55,0.0,0.0
PalmettoNet ,45,64,2.84,0.0646,0.3105,3,3,173.14,111.35,111.35,0.0,0.0
NTT,47,63,2.68,0.0583,0.1575,6,3,0.0,0.0,0.0,0.0,0.0
Bell Canada,48,64,2.67,0.0567,0.4186,6,3,904.73,492.35,492.35,0.0,0.0
NTELOS ,48,58,2.42,0.0514,0.3815,5,3,0.0,0.0,0.0,0.0,0.001
RoEduNet,48,52,2.17,0.0461,0.5281,18,3,827.03,816.64,816.64,0.0,0.0
UUNET,49,84,3.43,0.0714,0.2663,11,3,2636.02,2636.02,2636.02,0.0,0.0
SURFNET,50,68,2.72,0.0555,0.5064,3,3,24.47,24.47,24.47,0.0,0.0
Bell South ,51,66,2.59,0.0518,0.6056,26,3,1955.34,1903.62,1903.62,0.0,0.0
BT Latin America,51,50,1.96,0.0392,0.5404,12,3,0.0,0.0,0.0,0.0,0.0
CUDI,51,52,2.04,0.0408,0.7461,35,3,63.04,60.23,60.23,0.0,0.0
IRIS Networks ,51,64,2.51,0.0502,0.4614,4,3,482.12,234.68,234.68,0.0,0.001
CESNET,52,63,2.42,0.0475,0.7216,33,3,384.91,351.93,351.93,0.0,0.0
BTN ,53,65,2.45,0.0472,0.4681,25,3,4310.38,3750.84,3750.84,0.0,0.001
Tinet,53,89,3.36,0.0646,0.3279,4,3,4633.62,2475.43,2475.43,0.0,0.0
GARR,54,68,2.52,0.0475,0.4679,31,3,1111.21,960.75,960.75,0.0,0.0
GARR,54,68,2.52,0.0475,0.4679,31,3,1111.21,960.75,960.75,0.0,0.001
GARR,54,68,2.52,0.0475,0.4393,31,3,1112.51,971.23,971.23,0.0,0.0
GARR,54,68,2.52,0.0475,0.4393,31,3,1112.51,971.23,971.23,0.0,0.0
GARR,54,68,2.52,0.0475,0.4393,31,3,1112.51,971.23,971.23,0.0,0.001
GARR,54,68,2.52,0.0475,0.4393,31,3,1112.51,971.23,971.23,0.0,0.001
GARR,55,69,2.51,0.0465,0.4601,32,3,1139.0,977.16,977.16,0.0,0.0
GARR,55,69,2.51,0.0465,0.4601,32,3,1144.44,982.83,982.83,0.0,0.001
GARR,55,69,2.51,0.0465,0.4601,32,3,1148.31,969.37,969.37,0.0,0.0
GARR,55,69,2.51,0.0465,0.4601,32,3,1148.31,969.37,969.37,0.0,0.001
Hibernia Atlantic ,55,81,2.95,0.0545,0.4954,11,3,3327.32,1563.35,1563.35,0.0,0.001
GARR,56,70,2.5,0.0455,0.4526,33,3,1165.05,992.11,992.11,0.0,0.001
GARR,56,70,2.5,0.0455,0.4526,33,3,1165.05,992.11,992.11,0.0,0.001
GARR,56,70,2.5,0.0455,0.4526,33,3,1165.05,992.11,992.11,0.0,0.001
GARR,57,71,2.49,0.0445,0.4533,33,3,1149.41,996.75,996.75,0.0,0.0
DFN,58,87,3.0,0.0526,0.4794,7,3,541.79,541.79,541.79,0.0,0.0
GARR,58,72,2.48,0.0436,0.4587,33,3,1173.56,991.42,991.42,0.0,0.0
GARR,59,74,2.51,0.0432,0.4522,33,3,1207.89,964.45,964.45,0.0,0.001
GARR,59,74,2.51,0.0432,0.4547,32,3,1228.63,960.49,960.49,0.0,0.001
GARR,59,74,2.51,0.0432,0.4547,32,3,1228.63,960.49,960.49,0.0,0.0
GARR,59,74,2.51,0.0432,0.4547,32,3,1228.63,960.49,960.49,0.0,0.0
GARR,59,74,2.51,0.0432,0.4702,32,3,1228.6,960.57,960.57,0.0,0.001
